,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
620,Axim,GH,80.1,broken clouds,4.8699,-2.2405,Axim Beach Hotel
623,Pedernales,DO,80.29,clear sky,18.0384,-71.744,Hostal Doña Chava
627,Pandegelang,ID,72.09,heavy intensity rain,-6.31,106.1058,HOTEL HORISON ALTAMA
628,Neuquen,AR,89.49,clear sky,-38.9516,-68.0591,Hotel Argentina 307
641,Kinshasa,CD,76.08,moderate rain,-4.3246,15.3215,Ariana
644,Manokwari,ID,77.02,overcast clouds,-0.8667,134.0833,Hotel Arfak
648,Waverley,ZA,73.31,overcast clouds,-25.7023,28.2591,ThreebeesGuesthouse
649,Tzintzuntzan,MX,71.51,broken clouds,19.6167,-101.5833,Hotel Colibri 250 mxn
651,Mersing,MY,78.71,few clouds,2.4312,103.8405,Mersing Inn Hotel
654,Port Moresby,PG,76.42,light rain,-9.4431,147.1797,The Sanctuary Hotel and Spa
657,Camana,PE,73.76,scattered clouds,-16.6228,-72.7111,Caja Arequipa
658,Pangkalanbuun,ID,72.95,overcast clouds,-2.6833,111.6167,Hotel Tiara
664,Ghanzi,BW,74.01,light rain,-21.5667,21.7833,Ghanzi farmhouse
674,Chimbote,PE,72.97,overcast clouds,-9.0853,-78.5783,Hostal Diamante Chimbote
680,Isla Mujeres,MX,82.45,scattered clouds,21.2311,-86.731,Villa La Bella
683,Sao Jose Da Coroa Grande,BR,79.12,scattered clouds,-8.8978,-35.1478,Hotel do Sol
700,Kalangala,UG,73.89,scattered clouds,-0.3089,32.225,Kawanga Forest Resort
702,Chatrapur,IN,70.2,broken clouds,19.35,84.9833,Gyan wine shop
704,Trincomalee,LK,78.39,broken clouds,8.5711,81.2335,Silver Star Inn
706,Nicoya,CR,83.77,broken clouds,10.1483,-85.452,Hotel marianela
710,Mount Isa,AU,74.97,clear sky,-20.7333,139.5,Ibis Styles
718,Imbituba,BR,75.72,overcast clouds,-28.24,-48.6703,Silvestre Praia Hotel
722,Sao Miguel Do Araguaia,BR,79.9,heavy intensity rain,-13.275,-50.1628,Hotel São Miguel
726,Vavoua,CI,77.38,few clouds,7.3819,-6.4778,Hôtel Sougoun
